sg_address1,sg_address2,sg_address3,zipcode
424 TAGORE INDUSTRIAL AVE,SINDO PARK,SINGAPORE,787807
68 LOYANG WAY,,SINGAPORE,508758
18 KAKI BUKIT ROAD 3,#04-09,SINGAPORE,415978
28 GENTING LANE,#08-07 PLATINUM 28,SINGAPORE,349585
"336 RIVER VALLEY ROAD,","#03-01,",SINGAPORE,238336
"OG ALBERT COMPLEX,","60 ALBERT STREET, #15-02",SINGAPORE,189969
"304 ORCHARD ROAD, LUCKY PLAZA",#02-70,SINGAPORE,238863
160 WOODLANDS INDUSTRIAL PARK,E5 SINGAPORE,SINGAPORE,757867
16 SHAW ROAD,#02-11,SINGAPORE,367954
"BLOCK 23 , HOUGANG AVENUE 3",#02-289,SINGAPORE,530023
"6, LOK YANG WAY, JURONG",,SINGAPORE,628625
MAPLE BUSINESS CITY II,80 PASIR PANJANG ROAD #18-81,SINGAPORE,117372
AIRLINE HOUSE 05-B,25 AIRLINE ROAD,SINGAPORE,819829
BLK 111 JALAN BUKIT MERAH,#01-1684 TIONG BAHRU ORCHID,SINGAPORE,160111
8 SHENTON WAY,#46-01,SINGAPORE,068811
170 UPP BT TIMAH RD,#02-24 BT TIMAH SHPNG CTR,SINGAPORE,588179
3 SHENTON WAY,#22-01 SHENTON HOUSE,SINGAPORE,068805
1 WALLICH ROAD,GUOCO TOWER #14-01,SINGAPORE,078881
91 TANGLIN ROAD #02-07,TANGLIN PLACE,SINGAPORE,247918
45B TRAS STREET,,SINGAPORE,089494
"200, JALAN SULTAN","TEXTILE CENTRE, #03-17",SINGAPORE,199018
11 NORTH BUONA VISTA DRIVE,"#09-00, THE METROPOLIS",SINGAPORE,138589
BLK 231 BAIN STREET,#03-07,SINGAPORE,180231
350 ORCHARD ROAD,#17-05/06 SHAW HOUSE,SINGAPORE,238868
150 MEI LING STREET,#02-67,SINGAPORE,141150
9 TEMASEK BOULEVARD #09-01,SUNTEC TOWER 2,SINGAPORE,038989
865 MOUNTBATTEN ROAD,#B1-100 KATONG SHOPPING CENTRE,SINGAPORE,437844
BLK 2022 BUKIT BATOK STREET 23,#03-118,SINGAPORE,659527
16 JALAN KILANG,#04-05 HOI HUP BUILDING,SINGAPORE,159416
60 PAYA LEBAR ROAD,#10-47 PAYA LEBAR SQUARE,SINGAPORE,409051
331 NORTH BRIDGE ROAD,#07-01 ODEON TOWERS,SINGAPORE,188720
15 WOODLANDS LOOP,#01-34,SINGAPORE,738322
8 UBI ROAD 2,"#05-16, ZERVEX",SINGAPORE,408538
"CIO,ME,INDIA & SEA",1 GATEWAY DRIVE #15-01 WESTGATE TOWER,SINGAPORE,608531
51 GOLDHILL PLAZA,#12-11,SINGAPORE,308900
21 BUKIT BATOK CRESCENT,#26-78 WCEGA TOWER,SINGAPORE,658065
138 ROBINSON ROAD,"#12-01, OXLEY TOWER",SINGAPORE,068906
10 ANSON ROAD #10-20,INTERNATIONAL PLAZA,SINGAPORE,079903
865 MOUNTBATTEN ROAD,#01-51 KATONG SHOPPING CENTRE,SINGAPORE,437844
304 ORCHARD ROAD,#04-71 LUCKY PLAZA,SINGAPORE,238863
"10 BUKIT BATOK CRESCENT, THE SPIRE,","#14-03,",SINGAPORE,658079
"4 CHANGI NORTH STREET 1,","HERMES EPITEK CENTRE,",SINGAPORE,498816
BLK 108 HOUGANG AVE 1,#01-1321,SINGAPORE,530108
2 TRENGGANU STREET,#02-00,SINGAPORE,058456
NO. 170 UPPER BUKIT TIMAH ROAD,#04-11 BUKIT TIMAH SHOPPING CENTRE,SINGAPORE,588179
111 NORTH BRIDGE ROAD,#27-02 PENINSULA PLAZA,SINGAPORE,179098
20A TANJONG PAGAR ROAD,,SINGAPORE,088443
"71 UBI ROAD 1, #10-34",OXLEY BIZHUB,SINGAPORE,408732
269B NEW BRIDGE ROAD,,SINGAPORE,088747
308 TANGLIN ROAD,#02-01 UNIT 35,SINGAPORE,247974
6 EU TONG SEN STREET,#05-07 THE CENTRAL,SINGAPORE,059817
10 RAEBURN PARK,# 02-08,SINGAPORE,088702
810 GEYLANG ROAD,#03-105 CITY PLAZA,SINGAPORE,409286
1 JALAN ANAK BUKIT,#B1-43 BUKIT TIMAH PLAZA,SINGAPORE,588996
"-AUTOMATION , 1 PANDAN CRESCENT",,SINGAPORE,128461
1 BUROH LANE,,SINGAPORE,618292
5 LOYANG WALK,,SINGAPORE,508788
30 MARSILING INDUSTRIAL ESTATE ROAD 5,#03-02B,SINGAPORE,739211
26 SIN MING LANE,MIDVIEW CITY #03-124,SINGAPORE,573971
825 TAMPINES ST 81,#01-74,SINGAPORE,520825
545 ORCHARD ROAD,#04-40 FAR EAST SHOPPING CTR,SINGAPORE,238882
NO 2 KIM CHUAN DR,CSI DISTRICT CENTRE,SINGAPORE,537080
TELOK AYER STREET 137,#03-03,SINGAPORE,068602
60 ANSON ROAD,#17-01,SINGAPORE,079914
"24 JURONG PORT ROAD, #01-02",,SINGAPORE,619097
207 HENDERSON ROAD,#03-05 HENDERSON IND PK,SINGAPORE,159550
107 JURONG EAST STREET 13,#11-246 JURONG EAST VILLE,SINGAPORE,600107
3 ANG MO KIO STREET 62,#06-30 LINK@AMK,SINGAPORE,569139
16 RAFFLES QUAY #33-03,#04-95 HONG LIM COMPLEX,SINGAPORE,048581
111 NORTH BRIDGE ROAD,#07-13 PENINSULA PLAZA,SINGAPORE,179098
39 JALAN PEMIMPIN,#06-01 TAI LEE INDUSTRIAL BUILDING,SINGAPORE,577182
10 ANSON ROAD #29-05A INTERNATIONAL PLAZA,,SINGAPORE,079903
37 PENJURU LANE,#04-03,SINGAPORE,609215
228A PANDAN LOOP,TIAN SHENG @ 228A,SINGAPORE,128414
8 BOON LAY WAY,"#08-10 , 8@TRADEHUB 21",SINGAPORE,609964
"BLK 2023, BUKIT BATOK ST 23","#03-98, BUKIT BATOK INDUSTRIAL PARK A",SINGAPORE,659528
NO 12 LOYANG LANE,,SINGAPORE,508926
432 SERANGOON ROAD,,SINGAPORE,218130
1 CLEMENTI LOOP,#02-06 CLEMENTI WEST LOGIS PARK,SINGAPORE,129808
BLK 970 TOA PAYOH NORTH,#07-25/26,SINGAPORE,318992
126 GUL CIRCLE,,SINGAPORE,629594
17B LORONG LIPUT,#03-01,SINGAPORE,277747
15 YISHUN INDUSTRIAL STREET 1,#02-25 WIN 5,SINGAPORE,768091
4 JOAN ROAD 00,CALDECOTT HILL ESTATE,SINGAPORE,298887
2 KALLANG AVENUE,#07-13 CT HUB,SINGAPORE,339407
BLK 866 TAMPINES STREET 83,#08-227,SINGAPORE,520866
315 OUTRAM ROAD,#05-02 TAN BOON LIAT BLDG,SINGAPORE,169074
"100 , PASIR PANJANG ROAD",#06-02,SINGAPORE,118518
PSA TANJONG PAGAR COMPLEX,7 KEPPEL ROAD #03-50,SINGAPORE,089053
YISHUN CENTRAL POST OFFICE,LOCKED BAG SERVICE NO.1,SINGAPORE,917686
190 MIDDLE ROAD,#13-01 FORTUNE CTR,SINGAPORE,188979
70 SHENTON WAY,"EON SHENTON, #08-01/02",SINGAPORE,079118
101 CECEIL ST,#17-06 TONG ENG BLDG,SINGAPORE,069533
"10, ANSON ROAD",#23-16 INTERNATIONAL PLAZA,SINGAPORE,079903
7 TOH GUAN ROAD EAST,#08-01 ALPHA INDUSTRIAL BULDING,SINGAPORE,608599
BLK 623 ALJUNIED ROAD #07-07,ALJUNIED INDUSTRIAL COMPLEX,SINGAPORE,389835
"627 A,ALJUNIED ROAD",#08-04 BIZTECH CENTRE,SINGAPORE,389842
8 TEMASEK BOULEVARD,#25-03 SUNTEC TWR 3,SINGAPORE,038988
1A INTERNATIONAL BUSINESS PARK,09-03,SINGAPORE,609933
51 UBI AVE 1,#01-19 PAYA UBI INDUSTRIAL PARK,SINGAPORE,408933
80 RAFFLES PLACE,#14-06 UOB PLAZA 1,SINGAPORE,048624
"C/O. 2 SCIENCE PARK DRIVE, #04-13/14","ASCENT TOWER B,SINGAPORE SCIENCE PARK",SINGAPORE,118222
1 MACTAGGART RD #02-04 INVEST HO BUILDING,,SINGAPORE,368089
1092 LOWER DELTA ROAD,#05-14 TIONG BAHRU IND EST,SINGAPORE,169203
16 RAFFLES QUAY,#32-02 HONG LEONG BLDG,SINGAPORE,048581
629 ALJUNIED ROAD,#07-19 CITITECH IND BLDG,SINGAPORE,389838
21 TAMPINES AVENUE 1,EN10-03-03 GENERAL OFC,SINGAPORE,529757
28 MAXWELL ROAD,#03-18 MAXWELL CHAMBERS SUITES,SINGAPORE,069120
13 DEMSEY ROAD,#01-02,SINGAPORE,249674
BLK 1090 LOWER DELTA RD,#02-16,SINGAPORE,169201
188 DEPOT ROAD,#15-16 THE INTERLACE,SINGAPORE,109688
8 ADMIRALTY STREET,#05-09 ADMIRAX,SINGAPORE,757438
86 SECOND LOK YANG ROAD,,SINGAPORE,628162
19 TANGLIN ROAD,#01-30 TANGLIN SHOPPING CENTRE,SINGAPORE,247909
28 ANG MO KIO INDUSTRIAL PARK 2,,SINGAPORE,569508
1L LIMAU GARDENS,,SINGAPORE,466068
2 LENG KEE ROAD,#03-04 THYE HONG CENTRE,SINGAPORE,159086
BLK 93 HAVELOCK ROAD,#03-532,SINGAPORE,160093
42 TOH GUAN ROAD EAST,#01-72 ENTERPRISE HUB,SINGAPORE,608583
138 ROBINSON ROAD,#25-03 OXLEY TOWER,SINGAPORE,068906
73 UBI ROAD 1,#06-53 OXLEY BIZHUB,SINGAPORE,408733
8 MARINA VIEW #41-03,ASIA SQUARE TOWER 1,SINGAPORE,018960
2 BUKIT MERAH CENTRAL,#08-01,SINGAPORE,159835
219 KAKI BUKIT AVE 1,#02-00 SHUN LI INDUSTRIAL PARK,SINGAPORE,416044
372 RIVER VALLEY ROAD,#02-01,SINGAPORE,248280
111 NORTH BRIDGE ROAD,#17-01 PENINSULA PLAZA,SINGAPORE,179098
10 ANSON ROAD,#31-10 INTERNATIONAL PLAZA,SINGAPORE,618818
27 TUAS VIEW WALK 2,,SINGAPORE,637638
70 SHENTON WAY,#17-13 EON SHENTON,SINGAPORE,079118
996 BENDEMEER ROAD,#03-04 KALLANG BASIN INDUSTRIAL ESTATE,SINGAPORE,339944
5 KELULUT HILL,,SINGAPORE,805899
141 WOODLANDS INDUSTRIAL PARK E5,WOODLANDS E-TERRACE,SINGAPORE,757507
63 HILLVIEW AVENUE,#09-05 LAM SOON INDUSTRIAL BUILDING,SINGAPORE,669569
53 UBI AVE 1,#05-12 PAYA UBI INDUSTRIAL PARK,SINGAPORE,408934
60 LENGKONG TIGA,#02-02 STARVILLE,SINGAPORE,417454
21 TUAS AVENUE 11,,SINGAPORE,639085
"BK 348B, YISHUN AVE 11",#16-565,SINGAPORE,762348
61 SERAYA AVENUE,,SINGAPORE,627879
35 KALLANG PUDDING ROAD,#07-06 TONG LEE BUILDING BLOCK A,SINGAPORE,349314
5 TEMASEK BOULEVARD,SUNTEC TOWER 5 #05-05,SINGAPORE,038985
30 RAFFLES PLACE,#23-00 CHEVRON HOUSE,SINGAPORE,048622
23 WOODLANDS INDUSTRIAL PARK E1,#03-05,SINGAPORE,757741
56 LOYANG WAY,"#04-06, SINGAPORE",SINGAPORE,508775
NO.26 KIAN TECH DRIVE,,SINGAPORE,628893
"12, AMBER GARDENS","#15-06, KINGS MANSION",SINGAPORE,439959
"NO. 10 UBI CRESCENT,",#01-62 UBI TECHPARK LOBBY D,SINGAPORE,408564
180B BENCOOLEN STREET,"#12-05, THE BENCOOLEN",SINGAPORE,189648
5 PANDAN ROAD,,SINGAPORE,609299
18 BOON LAY WAY,#05-93 TRADEHUB 21,SINGAPORE,609966
20 BUKIT BATOK CRESCENT,#05-01,SINGAPORE,658080
805 WOODLANDS STREET 81,#10-05,SINGAPORE,730805
5 UBI LINK,#04-00,SINGAPORE,408548
63 ALEXANDRA TERRACE,#01-06 HARBOUR LINK WAREHOUSE,SINGAPORE,119937
"22, PIONEER CRESCENT","#02-06A, WEST PARK BIZCENTRAL",SINGAPORE,628556
2 WOODLANDS TERRACE,,SINGAPORE,738427
21B CIRCULAR ROAD,,SINGAPORE,049377
6 EU TONG SEN STREET,#12-15 THE CENTRAL SOHO 1,SINGAPORE,059817
45 GUL ROAD,,SINGAPORE,629350
101 THOMSON ROAD,#28-03 UNITED SQUARE,SINGAPORE,307591
22 CAMDEN PARK,,SINGAPORE,299814
"31 UBI RD 1,",#02-01,SINGAPORE,408694
1 COMMONWEALTH LANE,#04-22/23,SINGAPORE,149544
93 STAMFORD ROAD,,SINGAPORE,178897
1 SOON LEE STREET,#05-23 PIONEER CENTRE,SINGAPORE,627605
5 SOON LEE STREET,#05-47 PIONEER POINT,SINGAPORE,627607
59 UBI CRESCENT,,SINGAPORE,408597
"60 PAYA LEBAR ROAD,","#09-28 PAYA LEBAR SQUARE,",SINGAPORE,409051
"101A, LORONG 2",TOA PAYOH #04-03,SINGAPORE,310101
100 BEACH ROAD,#32-01/03 SHAW TOWER,SINGAPORE,189702
OXLEY BIZHUB LOBBY 4,"71 UBI ROAD 1, #05-36",SINGAPORE,408732
80 GENTING LANE #09-10 GENTING BLOCK,RUBY INDUSTRIAL COMPLEX,SINGAPORE,349565
59 UBI AVENUE 1,#05-02 BIZLINK CTR,SINGAPORE,408938
160 ROBINSON ROAD,#26-01 SBF CENTER,SINGAPORE,068914
"2 CHANGI BUSINESS PARK, AVENUE 1","PARK AVENUE CHANGI LEVEL 2, SUITE 2",SINGAPORE,486015
12 WOODLANDS LOOP #02-00,,SINGAPORE,738283
5 TUAS BASIN CLOSE,,SINGAPORE,638804
20 MCCALLUM STREET,STREET #19-01 TOKIO MARINE CENTRE,SINGAPORE,069046
21 WEST COAST CRESCENT,#17-05 BLUE HORIZON,SINGAPORE,128045
BLK 168 JALAN BUKIT MERAH,#05-01 SURBANA ONE,SINGAPORE,150168
8B ADMIRALTY STREET,#08-17,SINGAPORE,757440
"12 MARINA BOULEVARD,LEVEL 40 DBS ASIA CENTRAL",@ MARINA BAY FINANCIAL CENTRE TOWER 3,SINGAPORE,018982
ONE TEMASKE AVENUE,#41-00 MILLENIA TOWER,SINGAPORE,039192
17 SECOND CHIN BEE ROAD,,SINGAPORE,618779
21 WOODLAND INDUSTRIAL PARK E1,#02-02,SINGAPORE,757720
69 UBI ROAD 1,OXLEY BIZHUB #10-33,SINGAPORE,408731
190 CLEMENCEAU AVENUE,#06-08 SINGAPORE SHOPPING CENTER,SINGAPORE,239924
BLK 574 CHOA CHU KANG ST 52,#03-310,SINGAPORE,680574
650 JALAN TENAGA,#02-28,SINGAPORE,410650
NO 10 JALAN KELEMPONG,,SINGAPORE,509525
"104 JALAN GEMBIRA,",,SINGAPORE,369185
9 KAKI BUKIT ROAD 2,#03-27,SINGAPORE,417842
111 NORTH BRIDGE ROAD,#27-01 PENINSULA PLAZA,SINGAPORE,179098
11 BIOPOLIS WAY,#08-01/02 HELIOS,SINGAPORE,138667
18 SIN MING LANE,#02-11 MIDVIEW CITY,SINGAPORE,573960
4 SHENTON WAY,#15-06 SGX CENTRE 2,SINGAPORE,068807
175A BENCOOLEN STREET,#06-03 BURLINGTON SQUARE,SINGAPORE,189650
1 MARITIME SQUARE,#09-29 HARBOURFRONT CENTRE,SINGAPORE,099253
1010 DOVER ROAD,#01-90V,SINGAPORE,139658
50 SCOTTS ROAD,#01-02,SINGAPORE,228242
28 SIN MING LANE,#02-147 MIDVIEW CITY,SINGAPORE,573972
41-01 SUNTEC TOWER 2,9 TEMASEK BOULEVARD,SINGAPORE,038989
25 JURONG PORT ROAD,3RD FLOOR,SINGAPORE,619098
229 MOUNTBATTEN ROAD,#02-31 MOUNTBATTEN SQUARE,SINGAPORE,398007
1 GOLDHILL PLAZA,#02-23 GOLDHILL PLAZA,SINGAPORE,308899
43 SUNGEI KADUT STREET 1,,SINGAPORE,729348
23 TAGORE LANE,#01-16,SINGAPORE,787601
19A TANJONG PENJURU LEVEL 2,,SINGAPORE,609041
21 BUKIT BATOK CRESCENT,#28-80 WCEGA TOWER,SINGAPORE,658065
24 NEW INDUSTRIAL ROAD,#06-02 PEI FU INDUSTRIAL BUILDING,SINGAPORE,536210
152 BEACH ROAD,#25-01/04 GATEWAY EAST,SINGAPORE,189721
5 INTERNATIONAL BUSINESS PARK,#01-00 MEWAH BUILDING,SINGAPORE,609914
"10 MARINA BOULEVARD, #36-02","MARINA BAY FINANCIAL CENTRE, TOWER 2",SINGAPORE,018983
9 TAGORE LANE #04-07,9 @ TAGORE,SINGAPORE,787472
BLK 1080 EUNOS AVENUE 7,#01-161,SINGAPORE,409583
"70 SHENTON WAY,","#21-14~15 EON SHENTON,",SINGAPORE,079118
"1 SCOTTS ROAD, #24-10",SHAW CENTRE CENTRE,SINGAPORE,228208
21 WOODLANDS CLOSE,"PRIMZ BIZHUB, #07-29",SINGAPORE,737854
1 RAFFLES PLACE #19-61,ONE RAFFLES PLACE TOWER 2,SINGAPORE,048616
12 TANNERY ROAD,#07-01 HB CENTRE 1,SINGAPORE,347722
53 UBI AVE 1,#05-05 PAYA UBI INDUSTRIAL PARK,SINGAPORE,408934
9 KAKI BUKIT ROAD 2,#02-26 GORDON WAREHOUSE BUILDING,SINGAPORE,417842
8 TEMASEK BOULEVARD,#15-07 SUNTEC TOWER THREE,SINGAPORE,038988
"3 TAI SENG DRIVE,",#02-01,SINGAPORE,535216
315 OUTRAM ROAD,#11-08 TAN BOON LIAT BLDG,SINGAPORE,169074
NO 42 KAKI BUKIT CESCENT,,SINGAPORE,416267
1003 BUKIT MERAH CENTRAL,#04-01 INNO CENTRE,SINGAPORE,159836
221 HENDERSON BUILDING,#06-15 HENDERSON BUILDING,SINGAPORE,159557
7 TEMASEK BOULEVARD,#04-02 SUNTEC TOWER ONE,SINGAPORE,038987
53 SERANGOON NORTH AVE 4,#03-02/03,SINGAPORE,555852
83 CLEMENCEAU AVENUE,#07-05/08 SHELL HOUSE SQAURE,SINGAPORE,239920
1091 LOWER DELTA ROAD,#05-04,SINGAPORE,169202
60 PAYA LEBAR ROAD,#11-46 PAYA LEBAR SQUARE,SINGAPORE,409051
"BLK 231 BAIN STREET,",BRAS BASAH COMPLEX #01-23,SINGAPORE,180231
"55 LORONG L, TELOK KURAU","#01-67, BRIGHT CENTRE",SINGAPORE,425500
3 ANG MOK KIO STREET 62,#08-09,SINGAPORE,569139
430 TOA PAYOH LORONG 6,#10-01 ORANGETEE BUILDING,SINGAPORE,319402
1 SCOTTS ROAD,#26-11 SHAW CENTRE,SINGAPORE,228208
27 LOYANG CRESCENT,BLK 101 PAUL LITTLE DRIVE #01-05/06,SINGAPORE,508989
62A NEIL ROAD,2ND FLR,SINGAPORE,088833
2 KALLANG AVE #11-18,C T HUB,SINGAPORE,339407
"NO. 18 NERAM ROAD,",,SINGAPORE,807729
BLK 1014 #06-232,GEYLANG EAST AVE 3,SINGAPORE,389729
33 TUAS ROAD,,SINGAPORE,638495
NO 7 SENOKO SOUTH ROAD,,SINGAPORE,758071
1 RAFFLES QUAY,#25-00 NORTH TOWER,SINGAPORE,048583
NO. 9 UBI LINK,,SINGAPORE,408549
"#11-05, 3 SHENTON WAY",SHENTON HOUSE,SINGAPORE,068805
2 BUKIT BATOK STREET 23,#07-01 BUKIT BATOK CONNECTION,SINGAPORE,659554
"10 CHANGI BUSINESS PARK CENTRAL 2,","#03-01 HANSAPOINT @CBP, SINGAPORE",SINGAPORE,486030
NO 7 KAKI BUKIT RD 1,#02-01 EUNOS TECHNOLINK,SINGAPORE,415937
37 JALAN PEMIMPIN,#08-01 MATEX,SINGAPORE,577177
3 FUSIONOPOLIS WAY,SYMBIOSIS TOWER #21-20,SINGAPORE,138633
3 FUSIONOPOLIS WAY,#05-20 SYMBIOSIS,SINGAPORE,085401
190 WOODLANDS INDUSTRIAL PARK E5,#10-11 WOODLANDS BIZHUB,SINGAPORE,757516
100 BEACH ROAD #17-01,SHAW TOWER,SINGAPORE,189702
11 KEPPEL ROAD,#11-01 ABI PLAZA,SINGAPORE,089057
10 BUKIT BATOK CRESCENT,#04-01 THE SPIRE,SINGAPORE,658079
60 PAYA LEBAR ROAD,PAYA LEBAR SQUARE #13-35,SINGAPORE,409051
60 PAYA LEBAR ROAD #09-20,PAYA LEBAR SQUARE,SINGAPORE,409051
1100 LOWER DELTA ROAD,#02-04 EPL BUILDING,SINGAPORE,169206
51 BUTIK BATOK CRESCENT,#03-15 UNITY CENTRE,SINGAPORE,658077
BLK 203 #06-03B HENDERSON IND PARK,WING A HENDERSON ROAD,SINGAPORE,159546
80 MARINE PARADE RD,#13-02 PARKWAY PARADE,SINGAPORE,449269
8 EU TONG STREET,#19-93/94 THE CENTRAL,SINGAPORE,059818
101A UPPER CROSS STR,#10-18,SINGAPORE,058358
11 TAMPINES CONCOURSE,#03-07A,SINGAPORE,528729
80 ROBINSON ROAD,#20-02,SINGAPORE,068898
NO.24 SIN MING LANE,#06-96 MIDVIEW CITY,SINGAPORE,573970
BLK 17 PIONEER ROAD NORTH,#01-91,SINGAPORE,628465
1 SUNVIEW ROAD,#03-45 ECO-TECH@SUNVIEW,SINGAPORE,627615
NO.50 ALPS AVE,#03-00,SINGAPORE,498782
23/25 TEMPLE STREET,,SINGAPORE,058568
"ARC WAREHOUSE BLOCK 1, LEVEL 1 C/O DHL SUPPLY",CHAIN SINGAPORE PTE. LTD 1 GREENWICH DRIVE,SINGAPORE,533865
1 GOLDHILL PLAZA,#03-25,SINGAPORE,308899
26 SENOKO ROAD,,SINGAPORE,758101
7 TEMASEK BOULEVARD,#12-10 SUNTEC TOWER ONE,SINGAPORE,038987
20 CROSS ST,#02-01/02 CHINA COURT,SINGAPORE,048422
7 TUAS AVENUE 2,,SINGAPORE,639447
15 JALAN TEPONG,#02-03,SINGAPORE,619336
1 INTERNATIONAL BUSINESS PARK,#01-01 THE SYNERGY,SINGAPORE,609917
40 GUL DRIVE,,SINGAPORE,629488
"31 KAKI BUKIT ROAD 3,",#06-17/18 TECHLINK,SINGAPORE,417818
140 HILL STREET,#01-01A OLD HILL STREET POLICE STATION,SINGAPORE,179369
12 MARINA VIEW,"#27-00, ASIA SQUARE, TOWER 2",SINGAPORE,018961
240 TANJONG PAGAR ROAD,#04-00 GE TOWER,SINGAPORE,088540
3 MOUNT ELIZABETH,#16-12 MT ELIZABETH MED CTR,SINGAPORE,228510
8 CHANG CHARN RD,#03-00 LINK (THM) BUILDING,SINGAPORE,159637
12 MARINA VIEW,#20-02 ASIA SQUARE TOWER 2,SINGAPORE,018961
"BLOCK 1002 JALAN BUKIT MERAH, #03-03/04",,SINGAPORE,159456
11 KIAN TECK ROAD,,SINGAPORE,628768
65 SIMS AVENUE,#09-02B YI XIU FACTORY BUILDING,SINGAPORE,387418
3 ANG MO KIO STREET 62,#01-02,SINGAPORE,569139
"BLK 513,BISHAN ST 13,",#01-512,SINGAPORE,570513
"15 QUEEN STREET, #03-03",TAN CHONG TOWER,SINGAPORE,188537
51 GOLDHILL PLAZA,#21-08/09,SINGAPORE,308900
80 ROBINSON ROAD,#14-00,SINGAPORE,068868
33 UBI AVENUE,#01-77 VERTEX,SINGAPORE,557597
38 ANG MO KIO INDUSTRIAL PARK 2,#04-76,SINGAPORE,569511
101 CECIL STREET,#26-01 TONG ENG BUILDING,SINGAPORE,069533
133 NEW BRIDGE ROAD,#25-03/08 CHINATOWN POINT,SINGAPORE,059413
121 TANJONG RHU RD,#10-36,SINGAPORE,436914
1 HARBOUR FRONT PLACE,#06-00 HARBOUR FRONT TWR ONE,SINGAPORE,098633
36 PURVIS STREET,#02-07,SINGAPORE,188613
LEVEL 9 THE METROPOLIS TOWER 2,11 NORTH BUONA VISTA DRIVE,SINGAPORE,138589
360 ORCHARD ROAD,#07-03 INTERNATIONAL BUILDING,SINGAPORE,238869
410 NORTH BRIDGE ROAD,,SINGAPORE,188726
"#08-19 INTERLOCAL CENTRE,","100G PASIR PANJANG ROAD,",SINGAPORE,118523
60 PAYA LEBAR ROAD,#10-36 PAYA LEBAR SQUARE,SINGAPORE,409051
1 HARBOURFRONT PLACE,#06-00 HARBOURFRONT TOWER ONE,SINGAPORE,098633
NO 3 SHENTON WAY,#12-09 SHENTON HOUSE,SINGAPORE,068805
50 WOODLANDS INDUSTRIAL PARK E,,SINGAPORE,757824
49 JALAN PEMIMPIN,#01-02 APS INDUSTRIAL BUILDING,SINGAPORE,577203
6 TEMASEK BOULEVARD,#41-04 SUNTEC TWR 4,SINGAPORE,038986
"2900 ANG MO KIO AVENUE 3,",,SINGAPORE,569928
2 BATTERY ROAD #01-01,MAYBANK TOWER,SINGAPORE,049907
105 CECIL STREET #05-00,THE OCTAGON,SINGAPORE,069534
1 HARBOURFRONT PLACE #06-00,,SINGAPORE,098633
BLK 574 CHOA CHU KANG STREET 52,#10-298,SINGAPORE,680574
29 CANTONMENT ROAD,29 CANTONMENT ROAD,SINGAPORE,111262
1 TUAS WEST STREET,,SINGAPORE,637444
80 ANSON ROAD,#25-03 FUJI XEROX TOWER,SINGAPORE,079907
16 SHELFORD ROADI,#05-05 SHELFORN SUITES,SINGAPORE,288383
"#03-01, 77 HIGH STREET",HIGH STREET PLAZA,SINGAPORE,179433
"#046-18, CHANGI AIRPORT TERMINAL 2, LEVEL 4",AIRLINE DEVELOPMENT DIVISION LOADING BAY #2,SINGAPORE,918146
69 MCNAIR ROAD,,SINGAPORE,328548
17 GALLOP WALK,,SINGAPORE,258938
BLK 16 KALLANG PLACE,#03-16,SINGAPORE,339156
1 FIFTH AVENUE,#02-05 GUTHRIE HOUSE,SINGAPORE,268802
1 HARBOURFRONT AVENUE #08-01,KEPPEL BAY TOWER,SINGAPORE,098632
51 BUKIT BATOK CRESCENT,#01-10 UNITY CENTRE,SINGAPORE,658077
70 STAMFORD ROAD,#03-026 SINGAPORE MANAGEMENT UNIVERSITY,SINGAPORE,178901
25 LOYANG CRESCENT,"#01-11, LOYANG OFFSHORE SUPPLY BASE",SINGAPORE,508988
30 CECIL STREET,#18-02/03 PRUDENTIAL TOWER,SINGAPORE,049712
10 ANSON ROAD,#25-16 INT'L PLAZA,SINGAPORE,079903
"26 WOODLANDS TERRACE , LEVEL 2",,SINGAPORE,738449
4 CAIRNHILL RISE,#09-01,SINGAPORE,229740
250 NORTH BRIDGE ROAD,#30-03 RAFFLES CITY TOWER,SINGAPORE,179101
BLK 1000 TOA PAYOH NORTH,ANNEX BLDG LVL 3,SINGAPORE,318994
50 NORTH CANAL ROAD,#03-01,SINGAPORE,059304
10 ANSON ROAD,#12-01 INTERNATIONAL PLAZA,SINGAPORE,079903
1 HARBOURFRONT PLACE,#06-00 HARBOURFRONT TWR 1,SINGAPORE,098633
8 JALAN AYER,#01-02 STUDIO8,SINGAPORE,389144
996 BENDEMEER ROAD #06-06,,SINGAPORE,339944
35 JALAN PEMIMPIN,#05-02 WEDGEMOUNT IND BLDG,SINGAPORE,577176
304 ORCHARD ROAD,#05-22 LUCKY PLAZA,SINGAPORE,238863
1 RAFFLES QUAY,#24-10 SOUTH TOWER,SINGAPORE,048583
1 COLEMAN STREET,#02-24,SINGAPORE,179803
77 HIGH STREET,#09-11 HIGH STREET PLAZA,SINGAPORE,179433
"22 NASSIM HILL, #03-20",,SINGAPORE,258468
157E TAMARIND ROAD,#05-01 SERENITY,SINGAPORE,806109
77 HIGH STREET,10-13 HIGH STREET PLAZA,SINGAPORE,179433
201 HENDERSON ROAD,#04-20 APEX @ HENDERSON,SINGAPORE,159545
102F PASIR PANJANG ROAD,#03-10 CITILINK WAREHOUSE COMPLEX,SINGAPORE,118530
11D BROADRICK ROAD,,SINGAPORE,439512
30 KAKI BUKIT ROAD 3,#02-13/14 EMPIRE TECHNO CENTER,SINGAPORE,417809
