sg_address1,sg_address2,sg_address3,zipcode
"60 ALBERT STREET, #08-11 OG ALBERT COMPLEX",,SINGAPORE,189969
"60 PAYA LEBAR ROAD,","#11-29, PAYA LEBAR SQUARE",SINGAPORE,409051
#05-24,216 JOO CHIAT ROAD,SINGAPORE,427483
1 TEMASEK AVENUE,#39-01 MILENIA TOWER,SINGAPORE,039192
19 TANGLIN ROAD,#11-01/02 TANGLIN SHOPPING CENTRE,SINGAPORE,247909
61 ALEXANDRA TERRACE,# 07-05/06 HARBOURLINK COMPLEX,SINGAPORE,119936
75 BUKIT TIMAH,#03-05 BOON SIEW BUILDING,SINGAPORE,229833
"2985 JALAN BUKIT MERAH, EDUCATION WING","01-1C, SINGAPORE MANUFACTURING FEDERATION",SINGAPORE,159457
"10 ANSON ROAD,","#12-03 INTERNATIONAL PLAZA,",SINGAPORE,079903
7 TEMASEK BOULEVARD,#35-01 SUNTEC TOWER ONE,SINGAPORE,038987
160 ROBINSON ROAD #15-01 SBF CENTER,,SINGAPORE,068914
60 PAYA LEBAR ROAD #07-02,PAYA LEBAR SQUARE,SINGAPORE,409051
172 SIN MING DRIVE,SIN MING SEMAC'S DEPOT,SINGAPORE,575720
12 MARINA VIEW,#26-01 ASIA SQUARE TOWER 2,SINGAPORE,018961
78 SHENTON WAY,#18-00,SINGAPORE,079120
78 SHENTON WAY #04-03,,SINGAPORE,079120
"100D, PASIR PANJANG ROAD","#03-08, MEISSA",SINGAPORE,118520
"24 RAFFLES PLACE,",#12-06 CLIFFORD CENTRE,SINGAPORE,048621
36 ROBINSON ROAD,#09-01 CITY HOUSE,SINGAPORE,068877
ONE RAFFLES PLACE TOWER 2,#20-61,SINGAPORE,048616
20 ANSON ROAD,#13-01 TWENTY ANSON,SINGAPORE,079912
9 RAFFLES PLACE,#50-00 REPUBLIC PLAZA,SINGAPORE,048619
200 CANTONMENT ROAD,#13-05 SOUTHPOINT,SINGAPORE,089763
"3A INTERNATIONAL BUSINESS PARK,","ICON@IBP, TOWER A, #12-06/09",SINGAPORE,609935
1 MARITIME SQUARE,#13-01 HARBOURFRONT CENTRE,SINGAPORE,099253
1 GRANGE ROAD,#05-01 ORCHARD BLDG,SINGAPORE,239693
8 SHENTON WAY,#05-01 AXA TOWER,SINGAPORE,068811
"2 VENTURE DRIVE,",#07-24 VISION EXCHANGE,SINGAPORE,608526
3 CHURCH STREET,#13-02,SINGAPORE,049483
THE METROPOLIS TOWER 1,"9 NORTH BUONA VISTA DRIVE, NO.07-01",SINGAPORE,138588
238B THOMSON ROAD,#10-01/08 NOVENA SQUARE TOWER B,SINGAPORE,307685
(COST CENTRE:701945),"1 FUSIONOPOLIS PLACE, LEVEL 12 GALAXIS",SINGAPORE,138522
77 ROBINSON ROAD #08-01,SINGAPORE,SINGAPORE,068896
5 TEMASEK BOULEVARD,#08-01 SUNTEC CITY TOWER 5,SINGAPORE,038985
88B AMOY STREET,SINGAPORE,SINGAPORE,069907
"152 BEACH ROAD,",#27-01/04,SINGAPORE,189721
7 STRAITS VIEW,#19-01 MARINE ONE EAST TOWER,SINGAPORE,018936
4 SHENTON WAY #13-01,SGX CENTRE 2,SINGAPORE,068807
9 STRAITS VIEW,#21-07 MARINA ONE WEST TOWER,SINGAPORE,018937
"1 UBI CRESCENT #06-05,","NUMBER ONE BUILDING,",SINGAPORE,408563
273 JALAN AHMAD IBRAHIM,,SINGAPORE,629150
"UNIT 7, 207 HENDERSON ROAD",,SINGAPORE,159550
SONG LIN BUILDING,"1 SYED ALWI ROAD, #02-02",SINGAPORE,207628
10 COLLYER QUAY,#40-01 OCEAN FINANCIAL CENTRE,SINGAPORE,049315
1 TEMASEK AVENUE,#27-00 MILLENIA TOWER,SINGAPORE,039192
73 UBI ROAD 1,#09-61,SINGAPORE,408733
202 BEDOK SOUTH AVENUE 1 #02-01,,SINGAPORE,469332
#02-14 NANKIN ROW,3 PICKERING STREET,CHINA SQUARE CENTRAL,048660
"103 PENANG ROAD,",04-01 VISIONCREST COMMERCIAL,SINGAPORE,238467
7 CHANGI BUSINESS PARK CRESCENT,"CHANGI BUSINESS PARK LEVEL #01-00,",SINGAPORE,486028
10 COLLYER QUAY,#42-01 OCEAN FINANCIAL CTR,SINGAPORE,049315
ONE TEMASEK AVENUE,#06-01 MILLENIA TOWER,SINGAPORE,039192
"101 CECIL STREET,","#08-02, TONG ENG BUILDING,",SINGAPORE,069533
10 MARINA BOULEVARD,#07-01 MARINA BAY FINANCIAL CENTRE,SINGAPORE,018983
"1 FUSIONOPOLIS PLACE,","#07-10 GALAXIS,",SINGAPORE,138522
"46 KIM YAM ROAD,","#01/10, THE HERENCIA",SINGAPORE,239351
50 COLLYER QUAY,#05-02 OUE BAYFRONT,SINGAPORE,049321
22 NORTH CANAL RD,2ND FLR (SHOPHSE),SINGAPORE,054864
1 SELETAR AEROSPACE CRESCENT LEVEL 3 - HUB,,SINGAPORE,797565
1 SELETAR AEROSPACE CRESCENT,LEVEL 3 - HUB,SINGAPORE,797565
9 JALAN PESAWAT,,SINGAPORE,619367
1 WALLICH STREET,#28-03 GUOCO TOWER,SINGAPORE,078881
10 ANSON ROAD,#10-15 INTERNATIONAL PLAZA,SINGAPORE,079903
3 TEMASEK AVENUE,CENTENNIAL TOWER #32-01,SINGAPORE,039190
10 EUNOS ROAD 8 NORTH LOBBY,#08-02 SINGAPORE POST CENTRE,SINGAPORE,408600
6 TEMASEK BOULEVARD,#08-01 SUNTEC TOWER 4,SINGAPORE,038986
51 CUPPAGE ROAD,#06-10,SINGAPORE,229469
"1 NORTH BRIDGE ROAD, #21-03",,SINGAPORE,179094
26 TUAS SOUTH AVENUE 10,,SINGAPORE,637437
34 BOON LEAT TERRACE,#04-01,SINGAPORE,119866
1 WALLICH STREET,#32-01 GUOCO TOWER,SINGAPORE,078881
11 JALAN MESIN 06-00,STANDARD INDUSTRIAL BUILDING,SINGAPORE,368813
1 COLEMAN STREET,"#09-11, THE ADELPHI",SINGAPORE,179803
80 RAFFLES PLACE,#24-23 UOB PLAZA 2,SINGAPORE,048624
1 TEMASEK AVENUE,"#38-01, MILLENIA TOWER",SINGAPORE,039192
2 ORCHARD LINK,#05-08 SCAPE,SINGAPORE,237978
1 CHANGI BUSINESS PARK CRESCENT,#03-07 PLAZA 8,SINGAPORE,486025
991 ALEXANDRA ROAD,#02-04/05,SINGAPORE,119964
40 JALAN PEMIMPIN,#01-08,SINGAPORE,577185
MAPLETREE BUSINESS CITY,80 PASIR PANJANG ROAD #17-18 /17-82,SINGAPORE,117372
29 TEMBUSU AVENUE JURONG ISLAND,,SINGAPORE,627535
"LEVEL 30, SIX BATTERY ROAD",,SINGAPORE,049909
190 MIDDLE ROAD,#16-01 FORTUNE CENTRE,SINGAPORE,188979
4 TUAS LANE,,SINGAPORE,638613
16 ARUMUGAM ROAD,#06-05 LTC BUILDING D,SINGAPORE,409961
60 MACPHERSON ROAD,11TH FLOOR,SINGAPORE,348615
"105 CECIL STREET, #18-14 THE OCTAGON",,SINGAPORE,069534
27 PAYA LEBAR ROAD #12-06,,SINGAPORE,409042
31 TUAS SOUTH AVENUE 6,,SINGAPORE,637578
120 LOWER DELTA ROAD,#06-09 CENDEX CENTRE,SINGAPORE,169208
1 TEMASEK AVENUE,#12-01 MILLENIA TOWER,SINGAPORE,039192
"12, MARINA VIEW, #24-03/04",ASIA SQUARE TOWER 2,SINGAPORE,018961
150 BEACH ROAD,#13-05/07 GATEWAY WEST,SINGAPORE,189720
1 HARBOURFRONT PLACE,#14-01 HARBOURFRONT TOWER ONE,SINGAPORE,098633
151 CAVENAGH ROAD,"#04-165,CAVENAGH COURT",SINGAPORE,229628
6 TAI SENG LINK,#08-00 CHARLES & KEITH GROUP HEADQUARTERS,SINGAPORE,534101
